features,val
CODE_GENDER,1.0
FLAG_OWN_CAR,0.0
FLAG_OWN_REALTY,1.0
CNT_CHILDREN,0.0
AMT_INCOME_TOTAL,221400.0
AMT_CREDIT,247500.0
AMT_ANNUITY,9814.5
AMT_GOODS_PRICE,247500.0
REGION_POPULATION_RELATIVE,0.015221
DAYS_BIRTH,-10916.0
DAYS_EMPLOYED,-810.0
DAYS_REGISTRATION,-532.0
DAYS_ID_PUBLISH,-3534.0
OWN_CAR_AGE,12.061120673168864
FLAG_MOBIL,1.0
FLAG_EMP_PHONE,1.0
FLAG_WORK_PHONE,0.0
FLAG_CONT_MOBILE,1.0
FLAG_PHONE,0.0
FLAG_EMAIL,0.0
CNT_FAM_MEMBERS,2.0
REGION_RATING_CLIENT,2.0
REGION_RATING_CLIENT_W_CITY,2.0
HOUR_APPR_PROCESS_START,13.0
REG_REGION_NOT_LIVE_REGION,0.0
REG_REGION_NOT_WORK_REGION,0.0
LIVE_REGION_NOT_WORK_REGION,0.0
REG_CITY_NOT_LIVE_CITY,0.0
REG_CITY_NOT_WORK_CITY,0.0
LIVE_CITY_NOT_WORK_CITY,0.0
EXT_SOURCE_1,0.543037295469948
EXT_SOURCE_2,0.5873646392985845
EXT_SOURCE_3,0.6925590674998008
APARTMENTS_AVG,0.2598
BASEMENTAREA_AVG,0.0884425147963783
YEARS_BEGINEXPLUATATION_AVG,0.9831
YEARS_BUILD_AVG,0.7524715116335507
COMMONAREA_AVG,0.0446211398348534
ELEVATORS_AVG,0.28
ENTRANCES_AVG,0.2414
FLOORSMAX_AVG,0.3333
FLOORSMIN_AVG,0.2318965054062528
LANDAREA_AVG,0.0663338507352764
LIVINGAPARTMENTS_AVG,0.1007759736923234
LIVINGAREA_AVG,0.2822
NONLIVINGAPARTMENTS_AVG,0.0088088185541784
NONLIVINGAREA_AVG,0.0011
APARTMENTS_MODE,0.2647
BASEMENTAREA_MODE,0.0875434194332301
YEARS_BEGINEXPLUATATION_MODE,0.9831
YEARS_BUILD_MODE,0.7596373496665727
COMMONAREA_MODE,0.0425535387770521
ELEVATORS_MODE,0.282
ENTRANCES_MODE,0.2414
FLOORSMAX_MODE,0.3333
FLOORSMIN_MODE,0.2280614198873233
LANDAREA_MODE,0.064958320191484
LIVINGAPARTMENTS_MODE,0.1056460744013975
LIVINGAREA_MODE,0.294
NONLIVINGAPARTMENTS_MODE,0.0080765178998882
NONLIVINGAREA_MODE,0.0012
APARTMENTS_MEDI,0.2623
BASEMENTAREA_MEDI,0.0879551389487711
YEARS_BEGINEXPLUATATION_MEDI,0.9831
YEARS_BUILD_MEDI,0.7557463488026712
COMMONAREA_MEDI,0.0445955248529332
ELEVATORS_MEDI,0.28
ENTRANCES_MEDI,0.2414
FLOORSMAX_MEDI,0.3333
FLOORSMIN_MEDI,0.2316279375322403
LANDAREA_MEDI,0.0671694217853169
LIVINGAPARTMENTS_MEDI,0.1019556818415374
LIVINGAREA_MEDI,0.2873
NONLIVINGAPARTMENTS_MEDI,0.0086511559125485
NONLIVINGAREA_MEDI,0.0011
TOTALAREA_MODE,0.2222
OBS_30_CNT_SOCIAL_CIRCLE,0.0
DEF_30_CNT_SOCIAL_CIRCLE,0.0
OBS_60_CNT_SOCIAL_CIRCLE,0.0
DEF_60_CNT_SOCIAL_CIRCLE,0.0
DAYS_LAST_PHONE_CHANGE,-3.0
FLAG_DOCUMENT_2,0.0
FLAG_DOCUMENT_3,1.0
FLAG_DOCUMENT_4,0.0
FLAG_DOCUMENT_5,0.0
FLAG_DOCUMENT_6,0.0
FLAG_DOCUMENT_7,0.0
FLAG_DOCUMENT_8,0.0
FLAG_DOCUMENT_9,0.0
FLAG_DOCUMENT_10,0.0
FLAG_DOCUMENT_11,0.0
FLAG_DOCUMENT_12,0.0
FLAG_DOCUMENT_13,0.0
FLAG_DOCUMENT_14,0.0
FLAG_DOCUMENT_15,0.0
FLAG_DOCUMENT_16,0.0
FLAG_DOCUMENT_17,0.0
FLAG_DOCUMENT_18,0.0
FLAG_DOCUMENT_19,0.0
FLAG_DOCUMENT_20,0.0
FLAG_DOCUMENT_21,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,0.0
AMT_REQ_CREDIT_BUREAU_DAY,0.0
AMT_REQ_CREDIT_BUREAU_WEEK,0.0
AMT_REQ_CREDIT_BUREAU_MON,1.0
AMT_REQ_CREDIT_BUREAU_QRT,0.0
AMT_REQ_CREDIT_BUREAU_YEAR,0.0
NAME_CONTRACT_TYPE_Cash loans,1.0
NAME_CONTRACT_TYPE_Revolving loans,0.0
NAME_TYPE_SUITE_Children,0.0
NAME_TYPE_SUITE_Family,0.0
NAME_TYPE_SUITE_Group of people,0.0
NAME_TYPE_SUITE_Other_A,0.0
NAME_TYPE_SUITE_Other_B,0.0
"NAME_TYPE_SUITE_Spouse, partner",0.0
NAME_TYPE_SUITE_Unaccompanied,1.0
NAME_INCOME_TYPE_Businessman,0.0
NAME_INCOME_TYPE_Commercial associate,0.0
NAME_INCOME_TYPE_Maternity leave,0.0
NAME_INCOME_TYPE_Pensioner,0.0
NAME_INCOME_TYPE_State servant,1.0
NAME_INCOME_TYPE_Student,0.0
NAME_INCOME_TYPE_Unemployed,0.0
NAME_INCOME_TYPE_Working,0.0
NAME_EDUCATION_TYPE_Academic degree,0.0
NAME_EDUCATION_TYPE_Higher education,1.0
NAME_EDUCATION_TYPE_Incomplete higher,0.0
NAME_EDUCATION_TYPE_Lower secondary,0.0
NAME_EDUCATION_TYPE_Secondary / secondary special,0.0
NAME_FAMILY_STATUS_Civil marriage,0.0
NAME_FAMILY_STATUS_Married,1.0
NAME_FAMILY_STATUS_Separated,0.0
NAME_FAMILY_STATUS_Single / not married,0.0
NAME_FAMILY_STATUS_Unknown,0.0
NAME_FAMILY_STATUS_Widow,0.0
NAME_HOUSING_TYPE_Co-op apartment,0.0
NAME_HOUSING_TYPE_House / apartment,1.0
NAME_HOUSING_TYPE_Municipal apartment,0.0
NAME_HOUSING_TYPE_Office apartment,0.0
NAME_HOUSING_TYPE_Rented apartment,0.0
